id,name,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"0Om9WAB5RS09L80DyOfTNa","Tim McGraw","Taylor Swift",1,0,1,0,0,0
"32mVHdy0bi1XKgr0ajsBlG","Picture To Burn","Taylor Swift",1,0,1,0,0,0
"7zMcNqs55Mxer82bvZFkpg","Teardrops On My Guitar - Radio Single Remix","Taylor Swift",1,0,1,0,0,0
"73OX8GdpOeGzKC6OvGSbsv","A Place in this World","Taylor Swift",1,0,0,0,0,0
"7an1exwMnfYRcdVQm0yDev","Cold As You","Taylor Swift",1,0,0,0,0,0
"2QA3IixpRcKyOdG7XDzRgv","The Outside","Taylor Swift",1,0,0,0,0,0
"6K0CJLVXqbGMeJSmJ4ENKK","Tied Together with a Smile","Taylor Swift",1,0,0,0,0,0
"2ZoOmCSgj0ypVAmGd1ve4y","Stay Beautiful","Taylor Swift",1,0,0,0,0,0
"16MVSD0mGI4RMQT83Qzm69","Should've Said No","Taylor Swift",1,0,1,0,0,0
"2QrQCMel6v2JiLxqrg4p2O","Mary's Song (Oh My My My)","Taylor Swift",1,0,0,0,0,0
"15DeqWWQB4dcEWzJg15VrN","Our Song","Taylor Swift",1,0,1,0,0,0
"4pJi1rVt9GNegU9kywjg4z","Teardrops on My Guitar - Pop Version","Taylor Swift",1,1,0,0,0,0
"0JIdBrXGSJXS72zjF9ss9u","I'm Only Me When I'm With You","Taylor Swift",1,0,0,1,0,0
"5OOd01o2YS1QFwdpVLds3r","Invisible","Taylor Swift",1,0,0,1,0,0
"1spLfUJxtyVyiKKTegQ2r4","A Perfectly Good Heart","Taylor Swift",1,0,0,1,0,0
"3F6czr26ZwGU5O5CHY04Ma","Fearless","Fearless Platinum Edition",2,0,1,0,0,0
"3M0w3fhdXByHLCNAoi5c9G","Fifteen","Fearless Platinum Edition",2,0,1,0,0,0
"0kN3oXYWWAk1uC0y2WoyOE","Love Story","Fearless Platinum Edition",2,0,1,0,0,0
"6wcFdMmiDscAhZJrcVFumx","Hey Stephen","Fearless Platinum Edition",2,0,0,0,0,0
"4jPtq9shRdUv8Zjr0a5xkD","White Horse","Fearless Platinum Edition",2,0,1,0,0,0
"3as6Wz3mwbTnusWhZjTUNr","You Belong With Me","Fearless Platinum Edition",2,0,1,0,0,0
"6S9G7J3EB1ZY0rrZPwsBg5","Breathe","Fearless Platinum Edition",2,0,0,0,0,0
"4XrP7vKBjKLEYlRZdb0Ygr","Tell Me Why","Fearless Platinum Edition",2,0,0,0,0,0
"6HWYtS215rxaaMjvpyG18W","You're Not Sorry","Fearless Platinum Edition",2,0,0,0,0,0
"77VotUUL79U10TAnYdqwvr","The Way I Loved You","Fearless Platinum Edition",2,0,0,0,0,0
"1zxrcAk6eiytfavqriMcKT","Forever & Always","Fearless Platinum Edition",2,0,0,0,0,0
"5YbZZ2gYfvW1UvHHF4pVaD","The Best Day","Fearless Platinum Edition",2,0,0,0,0,0
"0RdcBnAXyH2YZZvcBVu2k6","Change","Fearless Platinum Edition",2,0,0,0,0,0
"08gavXombT6KR0af88i9tA","Jump Then Fall","Fearless Platinum Edition",2,0,0,1,0,0
"2IZ00ed83ygPIiacYScWUE","Untouchable","Fearless Platinum Edition",2,0,0,1,0,0
"46HGgtwmmuEB8mvDCyjyAc","Forever & Always - Piano Version","Fearless Platinum Edition",2,1,0,1,0,0
"4pl5zcqCv4vc3cB7M4MZ6f","Come In With The Rain","Fearless Platinum Edition",2,0,0,1,0,0
"14Bljc3pOOG0xQX3wqhLN9","SuperStar","Fearless Platinum Edition",2,0,0,1,0,0
"0xvsgzM8AtBtRHZm5rav8A","The Other Side Of The Door","Fearless Platinum Edition",2,0,0,1,0,0
"6LZaxlycSWrJZ4Volb25qx","Mine","Speak Now (Deluxe Edition)",3,0,1,0,0,0
"1q8E1FfFuhd12c5JcJwPxQ","Sparks Fly","Speak Now (Deluxe Edition)",3,0,1,0,0,0
"7lxADouiWFkwR7ZV2GKUcH","Back To December","Speak Now (Deluxe Edition)",3,0,1,0,0,0
"1nYWTzy5zu3zEPNgB1sItW","Speak Now","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"1ubvV5ECkm6nSI6g1HmbBK","Dear John","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"4N60XfcTE1ysLZGbYgnYXq","Mean","Speak Now (Deluxe Edition)",3,0,1,0,0,0
"19tHCfzUSoy5HkpxcmbA0A","The Story Of Us","Speak Now (Deluxe Edition)",3,0,1,0,0,0
"74WBGgUnpKrJXt6TETfR6Z","Never Grow Up","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"14LtANuaslKWyYbktUrHBU","Enchanted","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"1By2VQkUN0Frd8mKNV5NYC","Better Than Revenge","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"3kfgJql90tzgoxByioAMXR","Innocent","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"11UaQaEp2LvdspTyyuE3ur","Haunted","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"1D27z8xNzjW0Mwwt1NCWhJ","Last Kiss","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"7DjCRhhFo9PPzca1BjMLcf","Long Live","Speak Now (Deluxe Edition)",3,0,0,0,0,0
"1EQn3Uc5AyUXoiPLeyCrrg","Ours","Speak Now (Deluxe Edition)",3,0,1,1,0,0
"0vvt4IZOMkRug195S4MUq0","If This Was A Movie","Speak Now (Deluxe Edition)",3,0,0,1,0,0
"2R7C9dDqv1UPycvepBFziA","Superman","Speak Now (Deluxe Edition)",3,0,0,1,0,0
"6IH2Z54gYPLqgJtxZjX80i","Back To December - Acoustic","Speak Now (Deluxe Edition)",3,1,0,1,0,0
"62rlxI6g2PNaWsHoiRryto","Haunted - Acoustic Version","Speak Now (Deluxe Edition)",3,1,0,1,0,0
"0fAbfDiuQiUwV7FUcFfRGY","Mine - POP Mix","Speak Now (Deluxe Edition)",3,1,0,1,0,0
"5zyCYmiaVE5y26EZuwZbsw","State Of Grace","Red (Deluxe Edition)",4,0,0,0,0,0
"1RvQQGwaPipiNgz8RXAKA8","Red","Red (Deluxe Edition)",4,0,1,0,0,0
"0XfOV7qY3834QpFVwOb6CC","Treacherous","Red (Deluxe Edition)",4,0,0,0,0,0
"0ciHz919LVKoH4zgxyMPZ9","I Knew You Were Trouble.","Red (Deluxe Edition)",4,0,1,0,0,0
"1q3RiD1tIWUpGsNFADMlvl","All Too Well","Red (Deluxe Edition)",4,0,0,0,0,0
"3bIxTsfeNMO7Nt2J3EUKrA","22","Red (Deluxe Edition)",4,0,1,0,0,0
"31pEV5lPJi7btskZoUr2yu","I Almost Do","Red (Deluxe Edition)",4,0,0,0,0,0
"1OYARuagDrpgNNQ4loO1Cs","We Are Never Ever Getting Back Together","Red (Deluxe Edition)",4,0,1,0,0,0
"1x0J8LFX23d5h1zzuzZorc","Stay Stay Stay","Red (Deluxe Edition)",4,0,0,0,0,0
"7vvIpJZye5cRR6De1LKM0m","The Last Time","Red (Deluxe Edition)",4,0,1,0,0,0
"5d2Kn9oAAh9S2EbyCo1i52","Holy Ground","Red (Deluxe Edition)",4,0,0,0,0,0
"5QKhg4r4Ibt0LVTmWEXTEg","Sad Beautiful Tragic","Red (Deluxe Edition)",4,0,0,0,0,0
"2wtHlpYSgC7xEdD3DrSHNL","The Lucky One","Red (Deluxe Edition)",4,0,0,0,0,0
"7gdwoOmi258QJq0hmQ4hto","Everything Has Changed","Red (Deluxe Edition)",4,0,1,0,0,0
"0vqI4ZIMuifeKeItGiWbPj","Starlight","Red (Deluxe Edition)",4,0,0,0,0,0
"48A0aShHlovDfTMucMrE66","Begin Again","Red (Deluxe Edition)",4,0,1,0,0,0
"5AsmAjBSSQjRPWgAYIp8tm","The Moment I Knew","Red (Deluxe Edition)",4,0,0,1,0,0
"4qyalTRMRH5YuEntvvMvq0","Come Back...Be Here","Red (Deluxe Edition)",4,0,0,1,0,0
"6cf6rLb8qcklvJv90W6HCW","Girl At Home","Red (Deluxe Edition)",4,0,0,1,0,0
"7BT9K9BDqq6HI2oWH5UMZQ","Treacherous - Original Demo Recording","Red (Deluxe Edition)",4,1,0,1,0,0
"4mqgn90sCeVSYqcoftTQTd","Red - Original Demo Recording","Red (Deluxe Edition)",4,1,0,1,0,0
"5G9AVKld9q7DCrmoY42raf","State Of Grace - Acoustic","Red (Deluxe Edition)",4,1,0,1,0,0
"33Kq0AT5rvwyE4azisG08x","Welcome To New York","1989 (Deluxe Edition)",5,0,0,0,0,0
"2sC2P3BN0IXujNaaSyDmtP","Blank Space","1989 (Deluxe Edition)",5,0,1,0,0,0
