id,name,peak,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"0Om9WAB5RS09L80DyOfTNa","Tim McGraw",40,"Taylor Swift",1,0,1,0,0,0
"32mVHdy0bi1XKgr0ajsBlG","Picture To Burn",28,"Taylor Swift",1,0,1,0,0,0
"7zMcNqs55Mxer82bvZFkpg","Teardrops On My Guitar",13,"Taylor Swift",1,0,1,0,0,0
"73OX8GdpOeGzKC6OvGSbsv","A Place in this World",0,"Taylor Swift",1,0,0,0,0,0
"7an1exwMnfYRcdVQm0yDev","Cold As You",0,"Taylor Swift",1,0,0,0,0,0
"2QA3IixpRcKyOdG7XDzRgv","The Outside",0,"Taylor Swift",1,0,0,0,0,0
"6K0CJLVXqbGMeJSmJ4ENKK","Tied Together with a Smile",0,"Taylor Swift",1,0,0,0,0,0
"2ZoOmCSgj0ypVAmGd1ve4y","Stay Beautiful",0,"Taylor Swift",1,0,0,0,0,0
"16MVSD0mGI4RMQT83Qzm69","Should've Said No",33,"Taylor Swift",1,0,1,0,0,0
"2QrQCMel6v2JiLxqrg4p2O","Mary's Song (Oh My My My)",0,"Taylor Swift",1,0,0,0,0,0
"15DeqWWQB4dcEWzJg15VrN","Our Song",16,"Taylor Swift",1,0,1,0,0,0
"4pJi1rVt9GNegU9kywjg4z","Teardrops on My Guitar",13,"Taylor Swift",1,1,0,0,0,0
"0JIdBrXGSJXS72zjF9ss9u","I'm Only Me When I'm With You",0,"Taylor Swift",1,0,0,1,0,0
"5OOd01o2YS1QFwdpVLds3r","Invisible",0,"Taylor Swift",1,0,0,1,0,0
"1spLfUJxtyVyiKKTegQ2r4","A Perfectly Good Heart",0,"Taylor Swift",1,0,0,1,0,0
"3F6czr26ZwGU5O5CHY04Ma","Fearless",9,"Fearless Platinum Edition",2,0,1,0,0,0
"3M0w3fhdXByHLCNAoi5c9G","Fifteen",23,"Fearless Platinum Edition",2,0,1,0,0,0
"0kN3oXYWWAk1uC0y2WoyOE","Love Story",4,"Fearless Platinum Edition",2,0,1,0,0,0
"6wcFdMmiDscAhZJrcVFumx","Hey Stephen",94,"Fearless Platinum Edition",2,0,0,0,0,0
"4jPtq9shRdUv8Zjr0a5xkD","White Horse",13,"Fearless Platinum Edition",2,0,1,0,0,0
"3as6Wz3mwbTnusWhZjTUNr","You Belong With Me",2,"Fearless Platinum Edition",2,0,1,0,0,0
"6S9G7J3EB1ZY0rrZPwsBg5","Breathe",87,"Fearless Platinum Edition",2,0,0,0,0,0
"4XrP7vKBjKLEYlRZdb0Ygr","Tell Me Why",0,"Fearless Platinum Edition",2,0,0,0,0,0
"6HWYtS215rxaaMjvpyG18W","You're Not Sorry",11,"Fearless Platinum Edition",2,0,0,0,0,0
"77VotUUL79U10TAnYdqwvr","The Way I Loved You",72,"Fearless Platinum Edition",2,0,0,0,0,0
"1zxrcAk6eiytfavqriMcKT","Forever & Always",34,"Fearless Platinum Edition",2,0,0,0,0,0
"5YbZZ2gYfvW1UvHHF4pVaD","The Best Day",0,"Fearless Platinum Edition",2,0,0,0,0,0
"0RdcBnAXyH2YZZvcBVu2k6","Change",10,"Fearless Platinum Edition",2,0,0,0,0,0
"08gavXombT6KR0af88i9tA","Jump Then Fall",10,"Fearless Platinum Edition",2,0,0,1,0,0
"2IZ00ed83ygPIiacYScWUE","Untouchable",19,"Fearless Platinum Edition",2,0,0,1,0,0
"46HGgtwmmuEB8mvDCyjyAc","Forever & Always",34,"Fearless Platinum Edition",2,1,0,1,0,0
"4pl5zcqCv4vc3cB7M4MZ6f","Come In With The Rain",30,"Fearless Platinum Edition",2,0,0,1,0,0
"14Bljc3pOOG0xQX3wqhLN9","SuperStar",26,"Fearless Platinum Edition",2,0,0,1,0,0
"0xvsgzM8AtBtRHZm5rav8A","The Other Side Of The Door",23,"Fearless Platinum Edition",2,0,0,1,0,0
"6LZaxlycSWrJZ4Volb25qx","Mine",3,"Speak Now (Deluxe Edition)",3,0,1,0,0,0
"1q8E1FfFuhd12c5JcJwPxQ","Sparks Fly",17,"Speak Now (Deluxe Edition)",3,0,1,0,0,0
"7lxADouiWFkwR7ZV2GKUcH","Back To December",6,"Speak Now (Deluxe Edition)",3,0,1,0,0,0
"1nYWTzy5zu3zEPNgB1sItW","Speak Now",8,"Speak Now (Deluxe Edition)",3,0,0,0,0,0
"1ubvV5ECkm6nSI6g1HmbBK","Dear John",54,"Speak Now (Deluxe Edition)",3,0,0,0,0,0
"4N60XfcTE1ysLZGbYgnYXq","Mean",11,"Speak Now (Deluxe Edition)",3,0,1,0,0,0
"19tHCfzUSoy5HkpxcmbA0A","The Story Of Us",41,"Speak Now (Deluxe Edition)",3,0,1,0,0,0
"74WBGgUnpKrJXt6TETfR6Z","Never Grow Up",84,"Speak Now (Deluxe Edition)",3,0,0,0,0,0
"14LtANuaslKWyYbktUrHBU","Enchanted",75,"Speak Now (Deluxe Edition)",3,0,0,0,0,0
"1By2VQkUN0Frd8mKNV5NYC","Better Than Revenge",56,"Speak Now (Deluxe Edition)",3,0,0,0,0,0
"3kfgJql90tzgoxByioAMXR","Innocent",27,"Speak Now (Deluxe Edition)",3,0,0,0,0,0
